ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
1453	t	1	1b/¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	3757:2
1454	i	1	Ø	Ø	ɲ	ɲ	ɲ	ɲ	Ø	Ø	Ø	ɲ	3769:0
1455	n	1	Ø	Ø	i	i	i	i	Ø	Ø	Ø	i	3769:1
1456	t	1	Ø	Ø	²¹	²¹	²¹	²¹	Ø	Ø	Ø	²¹	3769:2
1457	i	1	k	k	k	k	k	k	k	k	k	k	3779:0
1458	n	1	o	o	v/ʯ	u	ao	v/ʯ	v/ʯ	v/ʯ	v/ʯ	v/ʯ	3779:1
1459	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	3779:2
1460	i	1	Ø	f	Ø	f	pf	Ø	f	f	f	f	3790:0
1461	n	1	Ø	o	Ø	o	u	Ø	v/ʯ	v/ʯ	o	v/ʯ	3790:1
1462	t	1	Ø	⁴⁴	Ø	⁵⁵	²⁴	Ø	⁴⁴	⁴⁴	⁴²	⁴⁴	3790:2
1463	i	1	x	x	x	x	h	x	x	x	x	x	3813:0
1464	n	1	e	e	ɛ̃	ᴇ/ɛ	e	ɛ̃	e	e	e	e	3813:1
1465	c	1	n	n	-	-	n	-	n	n	n	-	3813:2
1466	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3813:3
1467	i	1	qʰ	Ø	qʰ	qʰ	qʰ	qʰ	Ø	kʰ	Ø	u/w	3825:0
1468	m	1	u/w	Ø	u/w	u/w	u/w	u/w	Ø	u/w	Ø	-	3825:1
1469	n	1	æ	Ø	a	æ	æ	e	Ø	ɚ	Ø	ɛ	3825:2
1470	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	Ø	⁵⁵	Ø	³⁵	3825:3
1471	i	1	x	x	Ø	x	x	Ø	x	Ø	x	x	3834:0
1472	m	1	u/w	u/w	Ø	u/w	u/w	Ø	u/w	Ø	u/w	u/w	3834:1
1473	n	1	i	i	Ø	i	i	Ø	i	Ø	e	i	3834:2
1474	t	1	²	³³	Ø	²²	²²	Ø	³³	Ø	³³	³³	3834:3
1475	i	1	s	ɕ	s	s	ɕ	s	ɕ	ɕ	ɕ	ɕ	3835:0
1476	m	1	j	i/j	-	-	-	-	i/j	-	i/j	-	3835:1
1477	n	1	e	e	ɛ	i	i	e	e	e	e	e	3835:2
1478	c	1	n	n	-	-	-	-	n	n	n	-	3835:3
1479	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3835:4
1480	i	1	b	p	p	b	b	p	p	p	b	p	3855:0
1481	n	1	æ	ɚ/ə̃	a	ᴇ/ɛ	æ	ã	a	ɚ/ə̃	a	ɛ	3855:1
1482	c	1	ŋ	-	-	-	-	-	n	-	ŋ	-	3855:2
1483	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	3855:3
1484	i	1	kʰ	kʰ	ʃʰ	tsʰ	ʈʂʰ	tɕʰ	kʰ	k	ʈʂʰ	kʰ	3866:0
1485	m	1	r	-	-	-	-	i/j	-	-	-	-	3866:1
1486	n	1	o	o	ɛ	ɿ	i	ɚ̃/ə̃	v/ʯ	u	ɚ/ə̃	v/ʯ	3866:2
1487	t	1	²	³³	²²	²²	²²	²²	³³	²²	³³	³³	3866:3
1488	i	1	sʰ	sʰ	s	Ø	s	s	s	ɕ	s	s	3885:0
1489	m	1	u/w	u/w	u/w	Ø	u/w	u/w	u/w	y/ɥ	u/w	u/w	3885:1
1490	n	1	ɛ	e	ɛ	Ø	ɛ	e	i	ɛ	e	e	3885:2
1491	t	1	⁴	⁴⁴	⁴⁴	Ø	⁴²	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	3885:3
1492	i	1	dz	ts	Ø	ts	dz	Ø	Ø	ɣ	z	ts	3896:0
1493	n	1	i	i	Ø	i	i	Ø	Ø	ɚ/ə	i	i	3896:1
1494	t	1	¹	²¹	Ø	²¹	¹²	Ø	Ø	⁴⁴	³⁵	²¹	3896:2
1495	i	1	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	3907:0
1496	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	3907:1
1497	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3907:2
1498	i	1	tʰ	Ø	Ø	Ø	tʰ	Ø	tʰ	Ø	tʰ	tʰ	3922:0
1499	n	1	u	Ø	Ø	Ø	y	Ø	u	Ø	o	u	3922:1
1500	c	1	-	Ø	Ø	Ø	-	Ø	-	Ø	ŋ	-	3922:2
1501	t	1	²	Ø	Ø	Ø	²²	Ø	³³	Ø	³³	³³	3922:3
1502	i	1	Ø	k	ts	ts	Ø	ʈʂ	k	Ø	ʈʂ	k	3932:0
1503	n	1	Ø	õ	e	i	Ø	ɚ/ə̃	ṽ/ʯ̃	Ø	ẽ	v/ʯ	3932:1
1504	t	1	Ø	⁵⁵	⁵⁵	²²	Ø	⁵⁵	⁵⁵	Ø	⁵⁵	³⁵	3932:2
1505	i	1	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	3942:0
1506	n	1	i	i	i	i	i	i	i	i	i	i	3942:1
1507	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	3942:2
1508	i	1	tʰ	ʈʂʰ	tɕʰ	tʰ	tʰ	ʈ	tsʰ	tsʰ	tʰ	tsʰ	3953:0
1509	m	1	-	-	i/j	i/j	i/j	-	-	-	i/j	-	3953:1
1510	n	1	æ	ɚ/ə̃	a	æ	a	ã	a	ɚ/ə	a	ɛ	3953:2
1511	c	1	n	-	-	-	n	-	n	-	ŋ	-	3953:3
1512	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3953:4
1513	i	1	χ	x	x	χ	h	x	x	Ø	x	x	3964:0
1514	n	1	æ	ɚ/ə̃	ã	æ	a	ã	a	Ø	a	ɛ	3964:1
1515	c	1	n	-	-	-	n	-	n	Ø	ŋ	-	3964:2
1516	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	⁵⁵	3964:3
1517	i	1	sʰ	sʰ	s	ɕ	s	Ø	s	s	s	s	3975:0
1518	m	1	u/w	u/w	u/w	y/ɥ	u/w	Ø	u/w	u/w	-	u/w	3975:1
1519	n	1	a	a	a	ᴇ/ɛ	a	Ø	ɑ̃	a	o	a	3975:2
1520	c	1	ŋ	ŋ	-	-	ŋ	Ø	-	ŋ	ŋ	-	3975:3
1521	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3975:4
1522	i	1	d	Ø	tɕ	d	d	Ø	Ø	Ø	d	t	3986:0
1523	n	1	o	Ø	a	o	o	Ø	Ø	Ø	o	ou	3986:1
1524	c	1	ŋ	Ø	-	-	ŋ	Ø	Ø	Ø	ŋ	-	3986:2
1525	t	1	¹	Ø	⁵⁵	²¹	¹²	Ø	Ø	Ø	³⁵	²¹	3986:3
1526	i	1	tsʰ	ʈʂʰ	tʰ	tʰ	tʰ	Ø	tsʰ	tɕʰ	tɕʰ	ts	3996:0
1527	m	1	r	-	-	-	u/w	Ø	-	-	-	-	3996:1
1528	n	1	i	i	o	o	a	Ø	i	i	i	i	3996:2
1529	t	1	¹	⁵⁵	⁴²	⁴³	⁴²	Ø	⁵⁵	⁵⁵	⁴²	⁵⁵	3996:3
1530	i	1	Ø	Ø	f	f	pf	f	Ø	Ø	f	Ø	3997:0
1531	n	1	Ø	Ø	ɛ	ᴇ/ɛ	u	e	Ø	Ø	ɚ/ə	Ø	3997:1
1532	t	1	Ø	Ø	⁵⁵	²⁴	¹²	⁵⁵	Ø	Ø	⁵⁵	Ø	3997:2
1533	i	1	ts	tɕ	Ø	ts	ts	Ø	ts	tɕ	ts	ts	4012:0
1534	m	1	u/w	-	Ø	u	u/w	Ø	u/w	-	u/w	u/w	4012:1
1535	n	1	ɛ	i	Ø	ᴇ/ɛ	ɛ	Ø	i	i	e	e	4012:2
1536	t	1	⁴	⁴⁴	Ø	⁵⁵	²⁴	Ø	⁴⁴	³¹	⁴²	⁴⁴	4012:3
1537	i	1	s	ɕ	ɕ	ɕ	s	ɕ	ɕ	ɕ	ɕ	ɕ	4023:0
1538	m	1	j	i/j	i/j	i/j	-	i	i/j	-	i/j	i/j	4023:1
1539	n	1	æ	ɚ̃/ə̃	a	æ	a	ã	a	ɚ/ə̃	a	ɛ	4023:2
1540	c	1	n	-	-	-	n	-	n	-	ŋ	-	4023:3
1541	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4023:4
1542	i	1	d	ʈʂ	tɕ	d	dz	ʈ	ts	ts	d	ts	4034:0
1543	m	1	r	-	-	i/j	-	-	-	-	-	-	4034:1
1544	n	1	ɯ̃	ẽ	i	ɯ	ẽ	ɯ̃	ə̃	e	ĩ	ɯ	4034:2
1545	c	1	-	-	-	-	-	-	-	n	-	-	4034:3
1546	t	1	¹	³⁵	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	4034:4
1547	i	1	p	p	p	p	Ø	p	p	p	Ø	p	4045:0
1548	n	1	u	u	ɯ	ɯ	Ø	u	u	ɯ	Ø	u	4045:1
1549	t	1	³	³¹	⁴²	⁴³	Ø	⁴²	³¹	²¹	Ø	⁴²	4045:2
1550	i	1	d	t	t	t	d	t	t	tʰ	Ø	t	4056:0
1551	n	1	a	a	a	a	a	a	ɑ	a	Ø	a	4056:1
1552	t	1	⁴	⁴²	⁴²	²¹	²¹	⁴²	⁴²	⁴²	Ø	⁴²	4056:2
1553	i	1	m	Ø	Ø	m	m	Ø	m	m	m	Ø	4069:0
1554	n	1	ø	Ø	Ø	o	u	Ø	õ	o	o	Ø	4069:1
1555	c	1	-	Ø	Ø	-	-	Ø	-	ŋ	-	Ø	4069:2
1556	t	1	²	Ø	Ø	²²	³³	Ø	³³	³³	³³	Ø	4069:3
1557	i	1	ɣ	k	q	q	q	q	Ø	Ø	d	k	4081:0
1558	m	1	u/w	u/w	u/w	u/w	u/w	u/w	Ø	Ø	u/w	u/w	4081:1
1559	n	1	a	a	a	a	a	a	Ø	Ø	ɔ	a	4081:2
1560	t	1	⁴	⁴²	⁴²	²¹	²¹	⁴²	Ø	Ø	⁴²	⁴²	4081:3
1561	i	1	p	p	tɕ	p	Ø	Ø	p	p	tɕ	p	4085:0
1562	m	1	r	i/j	-	i/j	Ø	Ø	i/j	i/j	i/j	i/j	4085:1
1563	n	1	ɔ	ou	o	o	Ø	Ø	o	o	ɔ	a	4085:2
1564	t	1	¹	³⁵	⁵⁵	²⁴	Ø	Ø	⁵⁵	⁵⁵	⁵⁵	³⁵	4085:3
1565	i	1	tʰ	ʈʂʰ	tɕʰ	tʰ	tsʰ	ʈʰ	tsʰ	Ø	tʰ	tsʰ	4102:0
1566	m	1	r	-	-	i	-	-	-	Ø	-	-	4102:1
1567	n	1	u	u	u	u	u	v/ʯ	u	Ø	v/ʯ	u	4102:2
1568	t	1	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	Ø	²¹	³¹	4102:3
1569	i	1	tʰ	ʈʂʰ	Ø	tʰ	tɕ	Ø	tsʰ	tsʰ	tʰ	tsʰ	4112:0
1570	m	1	r	-	Ø	i	y/ɥ	Ø	-	-	-	-	4112:1
1571	n	1	u	u	Ø	u	i	Ø	u	u	v/ʯ	u	4112:2
1572	t	1	²	-	Ø	²²	²²	Ø	³³	³³	³³	³³	4112:3
1573	i	1	r/w	u/w	Ø	Ø	Ø	Ø	u/w	Ø	Ø	Ø	4123:0
1574	n	1	u	ei	Ø	Ø	Ø	Ø	ei	Ø	Ø	Ø	4123:1
1575	t	1	⁴	⁵⁵	Ø	Ø	Ø	Ø	⁵⁵	Ø	Ø	Ø	4123:2
1576	i	1	Ø	Ø	z	z	ʐ	ʐ	Ø	Ø	ʐ	Ø	4124:0
1577	n	1	Ø	Ø	ɛ	ɿ	i	ɚ/ə	Ø	Ø	ɚ/ə	Ø	4124:1
1578	t	1	Ø	Ø	²²	²¹	²²	⁴²	Ø	Ø	⁴²	Ø	4124:2
1579	i	1	tsʰ	Ø	tsʰ	tsʰ	tsʰ	tsʰ	Ø	tsʰ	Ø	Ø	4135:0
1580	n	1	u	Ø	u	u	u	u	Ø	u	Ø	Ø	4135:1
1581	t	1	³	Ø	⁴²	⁴³	⁴²	⁴²	Ø	²¹	Ø	Ø	4135:2
1582	i	1	d	ʈʂ	tɕ	t	dz	ʈ	ts	tsʰ	d	ts	4143:0
1583	m	1	r	-	i	i	-	-	-	-	i	-	4143:1
1584	n	1	o	ou	u	u	u	o	ou	v/ʯ	u	ou	4143:2
1585	t	1	⁴	⁴²	⁴²	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	4143:3
1586	i	1	t	t	t	t	t	t	t	ts	t	m	4154:0
1587	m	1	u/w	u/w	-	y/ɥ	u/w	y/ɥ	u/w	u/w	u/w	i/j	4154:1
1588	n	1	e	e	i	ᴇ/ɛ	e	i	e	e	e	ou	4154:2
1589	c	1	n	n	-	-	n	-	n	n	-	-	4154:3
1590	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁴²	4154:4
1591	i	1	b	p	Ø	b	Ø	Ø	p	b	Ø	p	4165:0
1592	m	1	r	-	Ø	-	Ø	Ø	-	-	Ø	-	4165:1
1593	n	1	i	i	Ø	i	Ø	Ø	i	i	Ø	i	4165:2
1594	t	1	³	³¹	Ø	⁴³	Ø	Ø	³¹	²¹	Ø	²¹	4165:3
1595	i	1	Ø	Ø	dʑ	Ø	dʑ	tɕ	Ø	Ø	ʑ	Ø	4166:0
1596	m	1	Ø	Ø	y/ɥ	Ø	-	y	Ø	Ø	-	Ø	4166:1
1597	n	1	Ø	Ø	i	Ø	y	ə̃	Ø	Ø	i	Ø	4166:2
1598	t	1	Ø	Ø	⁴²	Ø	⁴²	⁴²	Ø	Ø	²¹	Ø	4166:3
1599	i	1	tsʰ	Ø	tsʰ	tsʰ	ʈʂʰ	tɕʰ	Ø	tsʰ	ʈʂʰ	tʰ	4176:0
1600	m	1	r	Ø	-	-	-	-	Ø	-	-	-	4176:1
1601	n	1	e	Ø	ɛ	ɿ	ɚ/ə̃	ɚ/ə̃	Ø	e	ɚ/ə̃	a	4176:2
1602	c	1	n	Ø	-	-	-	-	Ø	n	-	-	4176:3
1603	t	1	²	Ø	²²	²²	²²	²²	Ø	³³	³³	⁵⁵	4176:4
1604	i	1	m	m	m	m	m	m	m	m	m	m	4185:0
1605	n	1	ɔ	õ	u	ɯ	o	o	õ	o	ɔ	ou	4185:1
1606	c	1	-	-	-	-	ŋ	-	-	-	-	-	4185:2
1607	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁵⁵	4185:3
1608	i	1	ts	tɕ	Ø	ts	tɕ	Ø	tɕ	tɕ	tɕ	tɕ	4196:0
1609	m	1	j	-	Ø	-	-	Ø	-	-	-	-	4196:1
1610	n	1	i	i	Ø	i	i	Ø	i	i	i	i	4196:2
1611	t	1	⁴	⁴⁴	Ø	⁵⁵	¹²	Ø	⁴⁴	⁴⁴	⁴²	⁵⁵	4196:3
1612	i	1	n	Ø	ɲ	ɲ	ɲ	ɲ	Ø	ɲ	Ø	Ø	4206:0
1613	m	1	j	Ø	-	-	-	-	Ø	i/j	Ø	Ø	4206:1
1614	n	1	i	Ø	i	i	i	i	Ø	ɛ	Ø	Ø	4206:2
1615	t	1	⁴	Ø	⁴⁴	⁵⁵	²⁴	⁵⁵	Ø	⁴⁴	Ø	Ø	4206:3
1616	m	1	Ø	ji/j	Ø	Ø	Ø	Ø	ji/j	Ø	ji/j	Ø	4205:0
1617	n	1	Ø	e	Ø	Ø	Ø	Ø	e	Ø	e	Ø	4205:1
1618	c	1	Ø	n	Ø	Ø	Ø	Ø	n	Ø	n	Ø	4205:2
1619	t	1	Ø	⁴⁴	Ø	Ø	Ø	Ø	⁴⁴	Ø	⁴²	Ø	4205:3
1620	i	1	ʁ	Ø	Ø	ʁ	ʁ	Ø	Ø	ɣ	Ø	Ø	4217:0
1621	n	1	a	Ø	Ø	a	a	Ø	Ø	a	Ø	Ø	4217:1
1622	c	1	ŋ	Ø	Ø	-	ŋ	Ø	Ø	ŋ	Ø	Ø	4217:2
1623	t	1	1b/¹	Ø	Ø	²¹	¹²	Ø	Ø	²¹	Ø	Ø	4217:3
1624	i	1	Ø	ŋ	ŋ	Ø	Ø	Ø	ŋ	Ø	ŋ	ŋ	4216:0
1625	n	1	Ø	a	a	Ø	Ø	Ø	ɑ̃	Ø	ɔ	a	4216:1
1626	t	1	Ø	²¹	²¹	Ø	Ø	Ø	²¹	Ø	³⁵	²¹	4216:2
1627	i	1	tsʰ	ʈʂʰ	tsʰ	tsʰ	ʈʂʰ	ʈʂʰ	tsʰ	tsʰ	ʈʂʰ	tsʰ	4227:0
1628	m	1	r	-	-	-	-	-	-	-	-	-	4227:1
1629	n	1	e	ɚ/ə̃	ɛ	ɿ	ɚ/ə̃	ɚ/ə	a	e	ɚ/ə̃	i	4227:2
1630	c	1	ŋ	-	-	-	-	-	n	n	-	-	4227:3
1631	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4227:4
1632	i	1	d	ʈʂ	tɕ	tʲ	dz	ʈ	ts	ts	d	ts	4238:0
1633	m	1	r	-	-	-	-	-	-	-	j	-	4238:1
1634	n	1	ɔ	ou	o	o	ao	o	ou	o	ɔ	o	4238:2
1635	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	4238:3
1636	i	1	pʰ	pʰ	Ø	pʰ	Ø	Ø	Ø	pʰ	pʰ	pʰ	4260:0
1637	n	1	e	e	Ø	i	Ø	Ø	Ø	ɛ	o	e	4260:1
1638	t	1	¹	⁵⁵	Ø	²⁴	Ø	Ø	Ø	⁵⁵	⁵⁵	⁵⁵	4260:2
1639	i	1	Ø	Ø	tɕʰ	Ø	tɕ	tɕʰ	Ø	Ø	Ø	Ø	4261:0
1640	m	1	Ø	Ø	y/ɥ	Ø	i/j	y/ɥ	Ø	Ø	Ø	Ø	4261:1
1641	n	1	Ø	Ø	i	Ø	e	i	Ø	Ø	Ø	Ø	4261:2
1642	c	1	Ø	Ø	-	Ø	n	-	Ø	Ø	Ø	Ø	4261:3
1643	t	1	Ø	Ø	⁵⁵	Ø	⁵⁵	⁵⁵	Ø	Ø	Ø	Ø	4261:4
1644	i	1	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	-	tɕʰ	4284:0
1645	m	1	Ø	Ø	Ø	Ø	Ø	Ø	j	Ø	j	i/j	4284:1
1646	n	1	Ø	Ø	Ø	Ø	Ø	Ø	ẽ	Ø	ẽ	ɛ	4284:2
1647	t	1	Ø	Ø	Ø	Ø	Ø	Ø	²¹	Ø	³⁵	³³	4284:3
1648	i	1	Ø	Ø	ɲ	ɲ	ɲ	ɲ	Ø	ɲ	Ø	Ø	4283:0
1649	m	1	Ø	Ø	-	i	-	-	Ø	i	Ø	Ø	4283:1
1650	n	1	Ø	Ø	i	ə	e	i	Ø	əɯ	Ø	Ø	4283:2
1651	t	1	Ø	Ø	²¹	²¹	¹²	²¹	Ø	²¹	Ø	Ø	4283:3
1652	i	1	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	4293:0
1653	m	1	-	i/j	-	-	i/j	-	i/j	-	-	-	4293:1
1654	n	1	e	e	i	i	e	ĩ	e	ĩ	e	e	4293:2
1655	c	1	n	n	-	-	n	-	n	-	n	-	4293:3
1656	t	1	¹	³⁵	⁵⁵	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	4293:4
1657	i	1	ɖʐ	ʈʂ	tɕ	tɕ	dz	tɕ	ts	tsʰ	ʐ	ts	4304:0
1658	m	1	-	-	i	i/j	-	i/j	-	-	-	-	4304:1
1659	n	1	o	õ	u	o	ao	o	ṽ/ʯ̃	u	y	v/ʯ	4304:2
1660	t	1	⁴	⁴²	⁴²	²¹	²¹	²¹	⁴²	²¹	⁴²	⁴²	4304:3
1661	i	1	d	t	t	d	d	ɖ	t	d	d	t	4315:0
1662	m	1	j	-	-	-	-	-	-	-	-	-	4315:1
1663	n	1	o	õ	o	o	o	ɯ	õ	o	o	o	4315:2
1664	c	1	ŋ	-	-	-	ŋ	-	-	ŋ	ŋ	-	4315:3
1665	t	1	²	³³	²²	²²	³³	²²	³³	³³	³³	³³	4315:4
1666	i	1	ɣ	k	Ø	ɣ	ɣ	q	k	k	Ø	k	4326:0
1667	n	1	ɯ	ẽ	Ø	ɯ	e	ɯ̃	ẽ	əɯ	Ø	ɯ	4326:1
1668	t	1	²	³³	Ø	²²	²²	⁴²	³³	³³	Ø	³³	4326:2
1669	i	1	d	ts	t	ts	d	d	ts	d	d	ts	4336:0
1670	m	1	j	-	-	-	-	i/j	-	-	-	-	4336:1
1671	n	1	ɛ	ẽ	i	ɿ	ɛ	e	ɯ	e	e	ɯ	4336:2
1672	c	1	-	-	-	-	-	-	-	n	-	-	4336:3
1673	t	1	⁵	⁴²	⁴²	²¹	⁴²	⁴²	⁴²	²¹	²¹	⁴²	4336:4
1674	i	1	m	m	m	Ø	Ø	m	m	Ø	m	m	4347:0
1675	n	1	i	i	i	Ø	Ø	i	i	Ø	i	i	4347:1
1676	t	1	²	³³	²²	Ø	Ø	²²	³³	Ø	³³	³³	4347:2
1677	i	1	tsʰ	tɕʰ	tsʰ	Ø	Ø	tsʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	4357:0
1678	n	1	e	i	i	Ø	Ø	e	i	i	i	i	4357:1
1679	t	1	³	³¹	⁴²	Ø	Ø	⁴²	³¹	²¹	¹²¹	³¹	4357:2
1680	i	1	-	tɕʰ	Ø	Ø	tɕʰ	Ø	tɕʰ	Ø	tɕʰ	Ø	4366:0
1681	m	1	-	i/j	Ø	Ø	i/j	Ø	i/j	Ø	i/j	Ø	4366:1
1682	n	1	e	e	Ø	Ø	a	Ø	e	Ø	e	Ø	4366:2
1683	c	1	n	n	Ø	Ø	n	Ø	n	Ø	n	Ø	4366:3
1684	t	1	¹	⁵⁵	Ø	Ø	⁵⁵	Ø	⁵⁵	Ø	⁵⁵	Ø	4366:4
1685	i	1	Ø	Ø	tsʰ	tsʰ	Ø	tɕʰ	Ø	tɕʰ	Ø	tɕʰ	4367:0
1686	n	1	Ø	Ø	i	i	Ø	ĩ	Ø	ĩ	Ø	i	4367:1
1687	t	1	Ø	Ø	⁵⁵	²⁴	Ø	⁵⁵	Ø	⁵⁵	Ø	⁵⁵	4367:2
1688	i	1	x	x	x	x	x	x	s	x	x	x	4377:0
1689	n	1	ɯ	ou	ɯ	ɯ	ɯ	ɯ	ou	ɯ	ɯ	ɯ	4377:1
1690	t	1	³³	³⁵	²²	²²	²²	²²	⁴⁴	³³	²²	³³	4377:2
1691	i	1	sʰ	sʰ	s	s	s	s	s	s	s	s	4400:0
1692	n	1	a	ã	o	a	a	ã	ɑ̃	a	a	a	4400:1
1693	c	1	ŋ	-	-	-	ŋ	-	-	ŋ	ŋ	-	4400:2
1694	t	1	¹	⁵⁵	⁵⁵	²⁴	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4400:3
1695	i	1	x	x	x	x	h	x	x	x	x	x	4411:0
1696	n	1	e	e	ẽ	ᴇ/ɛ	e	ẽ	e	e	e	e	4411:1
1697	c	1	n	n	-	-	n	-	n	n	n	-	4411:2
1698	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4411:3
1699	i	1	Ø	m	m	m	m	m	m	m	m	m	4412:0
1700	n	1	Ø	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	4412:1
1701	c	1	Ø	-	-	-	-	-	n	-	-	-	4412:2
1702	t	1	Ø	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	4412:3
1703	i	1	b	Ø	Ø	f	b	Ø	Ø	pʰ	v	p	4433:0
1704	m	1	j	Ø	Ø	-	w	Ø	Ø	-	-	-	4433:1
1705	n	1	o	Ø	Ø	o	ɯ	Ø	Ø	ɯ	ɚ/ə	ɛ	4433:2
1706	t	1	⁴	Ø	Ø	²¹	²¹	Ø	Ø	⁴²	⁴²	²¹	4433:3
1707	i	1	ŋ	u/w	ŋ	u/w	u/w	Ø	u/w	v	u/w	u/w	4452:0
1708	m	1	u/w	-	u/w	-	-	Ø	-	-	-	-	4452:1
1709	n	1	æ	ɚ/ə	a	æ	ɛ	Ø	a	ɚ/ə	a	ɛ	4452:2
1710	c	1	-	-	-	-	-	Ø	n	-	-	-	4452:3
1711	t	1	⁵	⁴²	⁴²	⁴	⁴²	Ø	⁴²	³¹	²¹	⁴²	4452:4
1712	i	1	b	p	Ø	b	b	Ø	p	p	b	p	4462:0
1713	n	1	æ	ɚ/ə̃	Ø	æ	a	Ø	a	ɚ/ə̃	a	ɛ	4462:1
1714	c	1	n	-	Ø	-	n	Ø	n	-	ŋ	-	4462:2
1715	t	1	³	³¹	Ø	⁴³	⁴²	Ø	³¹	²¹	²¹	²¹	4462:3
1716	i	1	t	t	Ø	Ø	t	Ø	Ø	t	t	Ø	4473:0
1717	n	1	u	u	Ø	Ø	u	Ø	Ø	v/ʯ	v/ʯ	Ø	4473:1
1718	t	1	²	³³	Ø	Ø	²²	Ø	Ø	²¹	³³	Ø	4473:2
1719	i	1	Ø	Ø	s	s	Ø	s	tsʰ	t	Ø	Ø	4474:0
1720	n	1	Ø	Ø	o	a	Ø	o	i	ɚ/ə	Ø	Ø	4474:1
1721	t	1	Ø	Ø	⁵⁵	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	Ø	Ø	4474:2
1722	i	1	Ø	Ø	p	b	Ø	p	p	Ø	Ø	Ø	4475:0
1723	n	1	Ø	Ø	u	o	Ø	u	ɔ	Ø	Ø	Ø	4475:1
1724	t	1	Ø	Ø	⁵⁵	²⁴	Ø	⁵⁵	⁵⁵	Ø	Ø	Ø	4475:2
1725	i	1	b	Ø	Ø	Ø	b	Ø	Ø	p	b	Ø	4491:0
1726	n	1	e	Ø	Ø	Ø	i	Ø	Ø	ɛ	i	Ø	4491:1
1727	t	1	²	Ø	Ø	Ø	²²	Ø	Ø	²²	³³	Ø	4491:2
1728	i	1	Ø	t	Ø	t	Ø	Ø	t	Ø	Ø	Ø	4488:0
1729	n	1	Ø	ã	Ø	a	Ø	Ø	ɑ̃	Ø	Ø	Ø	4488:1
1730	t	1	Ø	⁴²	Ø	²²	Ø	Ø	³¹	Ø	Ø	Ø	4488:2
1731	i	1	tʰ	Ø	Ø	tʰ	tʰ	tʰ	Ø	tʰ	tʰ	Ø	4501:0
1732	n	1	ɯ̃	Ø	Ø	ɯ	æ	ɯ̃	Ø	ɯ	ɯ	Ø	4501:1
